Country;Total Deaths;Total Recovered;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual
Norway;1,305;88,952;9,341,906;5,485,039;7,392;0,035;11,053;0,954;73,3;0,96;0,093;0,27;2,43;1,543;1,108;0,782;0,703;0,249;0,427;2,58
Pakistan;28,945;1,257,355;23,558,972;227,341,074;4,934;0,068;8,458;0,651;58,709;0,726;0,098;0,787;2,43;0,637;0,423;0,322;0,418;0,252;0,097;2,784
Palestine;4,678;432,266;2,866,266;5,279,645;4,517;0,067;8,485;0,826;62,25;0,653;-0,163;0,821;2,43;0,646;0,819;0,434;0,33;0,082;0,075;2,131
Panama;7,44;476,662;4,541,240;4,416,924;6,18;0,073;10,35;0,896;69,652;0,872;-0,166;0,856;2,43;1,298;0,976;0,667;0,596;0,079;0,053;2,509
Paraguay;16,642;448,387;2,050,098;7,264,351;5,653;0,092;9,448;0,893;65,9;0,876;0,028;0,882;2,43;0,983;0,97;0,549;0,602;0,206;0,037;2,306
Peru;202,818;N/A;21,881,553;33,662,773;5,84;0,075;9,458;0,832;68,25;0,822;-0,154;0,891;2,43;0,986;0,833;0,623;0,536;0,087;0,031;2,744
Philippines;51,604;2,779,706;25,372,205;111,775,185;5,88;0,052;9,076;0,83;62;0,917;-0,097;0,742;2,43;0,853;0,828;0,426;0,651;0,125;0,126;2,872
Poland;98,034;3,673,234;27,487,093;37,784,199;6,166;0,04;10,382;0,898;69,702;0,841;-0,165;0,735;2,43;1,309;0,982;0,668;0,558;0,08;0,13;2,438
Portugal;19,015;1,227,642;27,237,600;10,151,941;5,929;0,055;10,421;0,879;72,6;0,892;-0,244;0,887;2,43;1,323;0,939;0,76;0,621;0,029;0,033;2,225
Romania;58,866;1,745,012;17,222,335;19,044,433;6,14;0,057;10,284;0,832;67,355;0,845;-0,219;0,938;2,43;1,275;0,832;0,595;0,564;0,045;0,001;2,83
Russia;312,187;9,575,147;241,700,000;146,028,675;5,477;0,033;10,189;0,903;64,703;0,718;-0,111;0,845;2,43;1,241;0,992;0,511;0,409;0,115;0,06;2,148
Rwanda;1,357;45,522;4,051,802;13,434,690;3,415;0,068;7,676;0,552;61,4;0,897;0,061;0,167;2,43;0,364;0,202;0,407;0,627;0,227;0,493;1,095
Saudi Arabia;8,883;543,129;33,623,374;35,629,333;6,494;0,056;10,743;0,891;66,603;0,877;-0,149;0,684;2,43;1,435;0,964;0,571;0,603;0,09;0,163;2,668
Senegal;1,891;73,03;927,703;17,406,877;5,132;0,068;8,118;0,71;59,802;0,695;-0,046;0,801;2,43;0,518;0,558;0,357;0,381;0,158;0,088;3,071
Serbia;12,806;1,267,857;7,297,175;8,684,375;6,078;0,053;9,787;0,873;68,6;0,778;0,002;0,835;2,43;1,101;0,924;0,634;0,482;0,189;0,066;2,682
Sierra Leone;123;N/A;259,958;8,220,857;3,849;0,077;7,434;0,63;51,651;0,717;0,084;0,866;2,43;0,279;0,377;0,1;0,408;0,243;0,047;2,396
Singapore;829;276,643;21,098,774;5,919,588;6,377;0,043;11,488;0,915;76,953;0,927;-0,018;0,082;2,43;1,695;1,019;0,897;0,664;0,176;0,547;1,379
Slovakia;16,788;794,282;5,130,450;5,463,624;6,331;0,041;10,369;0,936;69,201;0,766;-0,124;0,911;2,43;1,304;1,066;0,653;0,468;0,107;0,018;2,714
Slovenia;5,623;445,097;2,093,238;2,079,368;6,461;0,043;10,529;0,948;71,4;0,949;-0,101;0,806;2,43;1,36;1,093;0,722;0,69;0,122;0,085;2,388
South Africa;91,312;3,224,152;21,304,188;60,433,670;4,956;0,06;9,403;0,86;56,904;0,749;-0,067;0,86;2,43;0,967;0,895;0,265;0,447;0,144;0,051;2,187
South Korea;5,781;537,043;15,804,065;51,335,615;5,845;0,042;10,651;0,799;73,9;0,672;-0,083;0,727;2,43;1,403;0,758;0,801;0,353;0,134;0,135;2,262
Spain;89,573;5,099,647;66,213,858;46,782,044;6,491;0,042;10,571;0,932;74,7;0,761;-0,081;0,745;2,43;1,375;1,057;0,826;0,462;0,135;0,124;2,513
Sri Lanka;15,037;561,128;5,726,599;21,548,402;4,325;0,066;9,47;0,827;67,299;0,841;0,079;0,863;2,43;0,99;0,82;0,593;0,559;0,239;0,049;1,075
