Country;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;;
Poland;98034;3673234;27487093;37784199;6,166;0,040;10,382;0,898;69,702;0,841;-0,165;0,735;2,430;1,309;0,982;0,668;0,558;0,080;0,130;2,438;;
Portugal;19015;1227642;27237600;10151941;5,929;0,055;10,421;0,879;72,600;0,892;-0,244;0,887;2,430;1,323;0,939;0,760;0,621;0,029;0,033;2,225;;
Romania;58866;1745012;17222335;19044433;6,140;0,057;10,284;0,832;67,355;0,845;-0,219;0,938;2,430;1,275;0,832;0,595;0,564;0,045;0,001;2,830;;
Russia;312187;9575147;241700000;146028675;5,477;0,033;10,189;0,903;64,703;0,718;-0,111;0,845;2,430;1,241;0,992;0,511;0,409;0,115;0,060;2,148;;
Rwanda;1357;45522;4051802;13434690;3,415;0,068;7,676;0,552;61,400;0,897;0,061;0,167;2,430;0,364;0,202;0,407;0,627;0,227;0,493;1,095;;
Saudi Arabia;8883;543129;33623374;35629333;6,494;0,056;10,743;0,891;66,603;0,877;-0,149;0,684;2,430;1,435;0,964;0,571;0,603;0,090;0,163;2,668;;
Senegal;1891;7303;927703;17406877;5,132;0,068;8,118;0,710;59,802;0,695;-0,046;0,801;2,430;0,518;0,558;0,357;0,381;0,158;0,088;3,071;;
Serbia;12806;1267857;7297175;8684375;6,078;0,053;9,787;0,873;68,600;0,778;0,002;0,835;2,430;1,101;0,924;0,634;0,482;0,189;0,066;2,682;;
Sierra Leone;123;N/A;259958;8220857;3,849;0,077;7,434;0,630;51,651;0,717;0,084;0,866;2,430;0,279;0,377;0,100;0,408;0,243;0,047;2,396;;
Singapore;829;276643;21098774;5919588;6,377;0,043;11,488;0,915;76,953;0,927;-0,018;0,082;2,430;1,695;1,019;0,897;0,664;0,176;0,547;1,379;;
Slovakia;16788;794282;5130450;5463624;6,331;0,041;10,369;0,936;69,201;0,766;-0,124;0,911;2,430;1,304;1,066;0,653;0,468;0,107;0,018;2,714;;
Slovenia;5623;445097;2093238;2079368;6,461;0,043;10,529;0,948;71,400;0,949;-0,101;0,806;2,430;1,360;1,093;0,722;0,690;0,122;0,085;2,388;;
