"Country","Continent","Total Deaths","Total Cases","Total Tests","Population","Ladder score","Standard error of ladder score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption"
"Colombia","South America","130061","4983053","29813056","51698947","6.01","0.06","9.56","0.85","68","0.84","-0.14","0.84"
"Comoros","Africa","158","5072","","897447","4.29","0.08","8.03","0.63","57","0.55","0.08","0.78"
"Congo","Africa","369","18825","316273","5722191","5.34","0.10","8.12","0.64","58","0.69","-0.07","0.74"
"Costa Rica","North America","7353","560709","2965435","5164120","7.07","0.06","9.88","0.89","71","0.93","-0.13","0.81"
"Croatia","Europe","12699","686311","3793631","4067143","5.88","0.05","10.22","0.92","71","0.75","-0.12","0.94"
"Cyprus","Asia","641","12437","9477138","1220587","6.22","0.05","10.58","0.80","74","0.76","-0.01","0.84"
"Czech Republic","Europe","36326","2358935","47123479","10738891","6.96","0.05","10.56","0.95","71","0.86","-0.21","0.87"
"Denmark","Europe","3307","637121","108234124","5822908","7.62","0.04","10.93","0.95","73","0.95","0.03","0.18"
"Dominican Republic","North America","4251","409559","2591285","11011603","5.54","0.07","9.80","0.85","66","0.86","-0.13","0.71"
"Ecuador","South America","33686","44388","2171252","18046016","5.76","0.06","9.31","0.82","69","0.84","-0.12","0.84"
"Egypt","Africa","21817","32218","3693367","105236507","4.28","0.04","9.37","0.75","62","0.75","-0.18","0.80"
"El Salvador","North America","3826","113511","1530272","6535469","6.06","0.07","9.05","0.76","66","0.89","-0.11","0.69"
"Estonia","Europe","194","225589","2548253","1327878","6.19","0.04","10.48","0.94","69","0.91","-0.11","0.53"
"Ethiopia","Africa","6969","356997","4137783","119242789","4.28","0.05","7.69","0.76","59","0.75","0.08","0.76"
"Finland","Europe","1599","46","8745480","5553678","7.84","0.03","10.78","0.95","72","0.95","-0.10","0.19"
"France","Europe","124212","8209921","188795159","65490955","6.69","0.04","10.70","0.94","74","0.82","-0.15","0.57"
"Gabon","Africa","290","37932","1493255","2304663","4.85","0.07","9.60","0.78","60","0.73","-0.20","0.84"
"Gambia","Africa","343","97","132861","2518658","5.05","0.09","7.69","0.69","55","0.70","0.42","0.75"
"Georgia","Asia","14009","904903","13013392","3977637","4.89","0.05","9.59","0.67","64","0.78","-0.24","0.66"
